Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Lelang,,,,2019-11-07 11:15:03,2019-11-07 11:19:35,4m - 31.743s,INCOMPLETE
,,,,,,,
Test Cases/Lelang/Lelang,,,,2019-11-07 11:15:05,2019-11-07 11:16:26,1m - 21.619s,PASSED
Start listener action : executeRows,,,,2019-11-07 11:15:05,2019-11-07 11:15:07,2.041s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 11:15:08,2019-11-07 11:15:47,38.550s,PASSED
"tap(findTestObject(""Lelang/Btn_Lihat_Semua""), 0)",,,,2019-11-07 11:15:47,2019-11-07 11:15:54,6.517s,PASSED
"if (JenisLelang == ""Tes"")",,,,2019-11-07 11:15:54,2019-11-07 11:15:54,0.002s,PASSED
"else if (JenisLelang == ""Astria"")",,,,2019-11-07 11:15:54,2019-11-07 11:15:54,0.000s,PASSED
"else if (JenisLelang == ""IBID"")",,,,2019-11-07 11:15:54,2019-11-07 11:15:57,3.368s,PASSED
"tap(findTestObject(""Lelang/DropDownLokasi""), 0)",,,,2019-11-07 11:15:57,2019-11-07 11:16:02,5.120s,PASSED
"setText(findTestObject(""Lelang/DropDownLokasi""), Lokasi, 0)",,,,2019-11-07 11:16:02,2019-11-07 11:16:05,3.110s,PASSED
"tap(findTestObject(""Lelang/Click"", [""text"":Lokasi]), 0)",,,,2019-11-07 11:16:05,2019-11-07 11:16:09,3.716s,PASSED
"tap(findTestObject(""Lelang/MonthTap""), 0)",,,,2019-11-07 11:16:09,2019-11-07 11:16:12,3.222s,PASSED
"tap(findTestObject(""Lelang/MonthRadio"", [""text"":Bulan]), 0)",,,,2019-11-07 11:16:12,2019-11-07 11:16:14,2.148s,PASSED
"tap(findTestObject(""Lelang/YearTap""), 0)",,,,2019-11-07 11:16:14,2019-11-07 11:16:17,3.076s,PASSED
"tap(findTestObject(""Lelang/MonthRadio"", [""text"":Tahun]), 0)",,,,2019-11-07 11:16:17,2019-11-07 11:16:19,2.018s,PASSED
"tap(findTestObject(""Lelang/TapTanggal"", [""text"":Tanggal]), 0)",,,,2019-11-07 11:16:19,2019-11-07 11:16:23,3.873s,PASSED
"if (verifyElementText(findTestObject(""Lelang/LelangDetail""), Event, OPTIONAL))",,,,2019-11-07 11:16:23,2019-11-07 11:16:26,3.103s,PASSED
"switch (""Result"")",,,,2019-11-07 11:16:26,2019-11-07 11:16:26,0.004s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 11:16:26,2019-11-07 11:16:26,0.000s,PASSED
,,,,,,,
Test Cases/Lelang/Lelang,,,,2019-11-07 11:16:27,2019-11-07 11:19:35,3m - 8.161s,FAILED
Start listener action : executeRows,,,,2019-11-07 11:16:27,2019-11-07 11:16:27,0.449s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 11:16:27,2019-11-07 11:16:52,24.931s,PASSED
"tap(findTestObject(""Lelang/Btn_Lihat_Semua""), 0)",,,,2019-11-07 11:16:52,2019-11-07 11:17:01,9.230s,PASSED
"if (JenisLelang == ""Tes"")",,,,2019-11-07 11:17:01,2019-11-07 11:17:01,0.001s,PASSED
"else if (JenisLelang == ""Astria"")",,,,2019-11-07 11:17:01,2019-11-07 11:17:01,0.000s,PASSED
"else if (JenisLelang == ""IBID"")",,,,2019-11-07 11:17:01,2019-11-07 11:17:06,4.472s,PASSED
"tap(findTestObject(""Lelang/DropDownLokasi""), 0)",,,,2019-11-07 11:17:06,2019-11-07 11:17:10,4.090s,PASSED
"setText(findTestObject(""Lelang/DropDownLokasi""), Lokasi, 0)",,,,2019-11-07 11:17:10,2019-11-07 11:17:13,3.445s,PASSED
"tap(findTestObject(""Lelang/Click"", [""text"":Lokasi]), 0)",,,,2019-11-07 11:17:13,2019-11-07 11:17:17,4.138s,PASSED
"tap(findTestObject(""Lelang/MonthTap""), 0)",,,,2019-11-07 11:17:17,2019-11-07 11:17:20,2.530s,PASSED
"tap(findTestObject(""Lelang/MonthRadio"", [""text"":Bulan]), 0)",,,,2019-11-07 11:17:20,2019-11-07 11:17:22,2.230s,PASSED
"tap(findTestObject(""Lelang/YearTap""), 0)",,,,2019-11-07 11:17:22,2019-11-07 11:17:25,2.755s,PASSED
"tap(findTestObject(""Lelang/MonthRadio"", [""text"":Tahun]), 0)",,,,2019-11-07 11:17:25,2019-11-07 11:17:27,2.046s,PASSED
"tap(findTestObject(""Lelang/TapTanggal"", [""text"":Tanggal]), 0)",,,,2019-11-07 11:17:27,2019-11-07 11:17:30,2.931s,PASSED
"if (verifyElementText(findTestObject(""Lelang/LelangDetail""), Event, OPTIONAL))",,,,2019-11-07 11:17:30,2019-11-07 11:18:32,1m - 1.758s,PASSED
else,,,,2019-11-07 11:18:32,2019-11-07 11:19:35,1m - 3.072s,FAILED
Start listener action : addFailedTCToList,,,,2019-11-07 11:19:35,2019-11-07 11:19:35,0.003s,PASSED
