Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Kalkulator,,,,2019-11-07 11:31:47,2019-11-07 11:34:13,2m - 26.162s,INCOMPLETE
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 11:31:49,2019-11-07 11:33:14,1m - 25.434s,PASSED
Start listener action : executeRows,,,,2019-11-07 11:31:49,2019-11-07 11:31:52,2.599s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 11:31:53,2019-11-07 11:32:40,46.630s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 11:32:40,2019-11-07 11:32:46,5.766s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 11:32:46,2019-11-07 11:32:49,3.469s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 11:32:49,2019-11-07 11:32:49,0.001s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 11:32:49,2019-11-07 11:32:49,0.001s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 11:32:49,2019-11-07 11:32:50,0.356s,PASSED
"setText(findTestObject(""Kalkulator/UangMukaRP""), UangMukaRp, 0)",,,,2019-11-07 11:32:50,2019-11-07 11:32:53,2.917s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 11:32:53,2019-11-07 11:32:57,4.766s,PASSED
else,,,,2019-11-07 11:32:57,2019-11-07 11:33:14,17.090s,PASSED
"switch (""Result"")",,,,2019-11-07 11:33:14,2019-11-07 11:33:14,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 11:33:14,2019-11-07 11:33:14,0.011s,PASSED
,,,,,,,
Test Cases/Kalkulator/Kalkulator,,,,2019-11-07 11:33:15,2019-11-07 11:34:13,58.377s,PASSED
Start listener action : executeRows,,,,2019-11-07 11:33:15,2019-11-07 11:33:15,0.225s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 11:33:15,2019-11-07 11:33:40,25.184s,PASSED
"tap(findTestObject(""Kalkulator/BTN_Kalkulator""), 0)",,,,2019-11-07 11:33:40,2019-11-07 11:33:48,7.485s,PASSED
"setText(findTestObject(""Kalkulator/HargaUnit""), HargaUnit, 0)",,,,2019-11-07 11:33:48,2019-11-07 11:33:50,2.388s,PASSED
"if (varPeriode == ""12"")",,,,2019-11-07 11:33:50,2019-11-07 11:33:50,0.004s,PASSED
"else if (varPeriode == ""24"")",,,,2019-11-07 11:33:50,2019-11-07 11:33:50,0.000s,PASSED
"else if (varPeriode == ""36"")",,,,2019-11-07 11:33:50,2019-11-07 11:33:50,0.000s,PASSED
"else if (varPeriode == ""48"")",,,,2019-11-07 11:33:50,2019-11-07 11:33:50,0.000s,PASSED
"else if (varPeriode == ""60"")",,,,2019-11-07 11:33:50,2019-11-07 11:33:51,0.331s,PASSED
"setText(findTestObject(""Kalkulator/UangMukaRP""), UangMukaRp, 0)",,,,2019-11-07 11:33:51,2019-11-07 11:33:53,2.620s,PASSED
"if (verifyElementVisible(findTestObject(""Kalkulator/MinimalUangMuka""), 3, OPTIONAL))",,,,2019-11-07 11:33:53,2019-11-07 11:33:58,4.781s,PASSED
else,,,,2019-11-07 11:33:58,2019-11-07 11:34:13,15.205s,PASSED
"switch (""Result"")",,,,2019-11-07 11:34:13,2019-11-07 11:34:13,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 11:34:13,2019-11-07 11:34:13,0.003s,PASSED
