Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TOPUP,,,,2019-11-07 11:46:23,2019-11-07 11:48:43,2m - 20.394s,INCOMPLETE
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-11-07 11:46:24,2019-11-07 11:47:53,1m - 28.229s,PASSED
Start listener action : executeRows,,,,2019-11-07 11:46:24,2019-11-07 11:46:27,2.075s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 11:46:28,2019-11-07 11:47:03,35.744s,PASSED
getDeviceHeight(),,,,2019-11-07 11:47:03,2019-11-07 11:47:04,1.072s,PASSED
getDeviceWidth(),,,,2019-11-07 11:47:04,2019-11-07 11:47:05,0.615s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-07 11:47:05,2019-11-07 11:47:12,6.814s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-11-07 11:47:12,2019-11-07 11:47:15,3.407s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-11-07 11:47:15,2019-11-07 11:47:17,1.705s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-11-07 11:47:17,2019-11-07 11:47:19,2.265s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-11-07 11:47:19,2019-11-07 11:47:22,2.395s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/NotifKelipatan""), 3, OPTIONAL))",,,,2019-11-07 11:47:22,2019-11-07 11:47:27,5.248s,PASSED
else,,,,2019-11-07 11:47:27,2019-11-07 11:47:53,25.636s,PASSED
"switch (""Result"")",,,,2019-11-07 11:47:53,2019-11-07 11:47:53,0.001s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 11:47:53,2019-11-07 11:47:53,0.013s,PASSED
,,,,,,,
Test Cases/TopUP/TopUP,,,,2019-11-07 11:47:53,2019-11-07 11:48:43,50.446s,PASSED
Start listener action : executeRows,,,,2019-11-07 11:47:53,2019-11-07 11:47:53,0.109s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-07 11:47:53,2019-11-07 11:48:18,24.711s,PASSED
getDeviceHeight(),,,,2019-11-07 11:48:18,2019-11-07 11:48:19,0.802s,PASSED
getDeviceWidth(),,,,2019-11-07 11:48:19,2019-11-07 11:48:19,0.577s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-07 11:48:19,2019-11-07 11:48:27,7.888s,PASSED
"tap(findTestObject(""TopUP/Btn_TopUP""), 0)",,,,2019-11-07 11:48:27,2019-11-07 11:48:31,3.538s,PASSED
"setText(findTestObject(""TopUP/InputNominal""), varTopUP, 0)",,,,2019-11-07 11:48:31,2019-11-07 11:48:32,1.900s,PASSED
"tap(findTestObject(""TopUP/DropDownBank""), 0)",,,,2019-11-07 11:48:32,2019-11-07 11:48:35,2.135s,PASSED
"tap(findTestObject(""Kalkulator/Click"", [""text"":varBank]), 0)",,,,2019-11-07 11:48:35,2019-11-07 11:48:37,2.089s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/NotifKelipatan""), 3, OPTIONAL))",,,,2019-11-07 11:48:37,2019-11-07 11:48:43,6.599s,PASSED
"switch (""Result"")",,,,2019-11-07 11:48:43,2019-11-07 11:48:43,0.000s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-07 11:48:43,2019-11-07 11:48:43,0.000s,PASSED
