Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Penarikan,,,,2019-11-11 16:02:55,2019-11-11 16:04:04,1m - 9.364s,INCOMPLETE
,,,,,,,
Test Cases/TopUP/Penarikan,,,,2019-11-11 16:02:57,2019-11-11 16:04:04,1m - 6.803s,PASSED
Start listener action : executeRows,,,,2019-11-11 16:02:58,2019-11-11 16:03:03,4.866s,PASSED
"startApplication(""C:/Users/Marvin/git/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-11 16:03:05,2019-11-11 16:03:46,40.532s,PASSED
"tap(findTestObject(""TopUP/BTN_Deposit""), 0)",,,,2019-11-11 16:03:46,2019-11-11 16:03:55,9.147s,PASSED
"tap(findTestObject(""TopUP/Penarikan/Btn_Penarikan""), 0)",,,,2019-11-11 16:03:55,2019-11-11 16:03:59,4.392s,PASSED
"setText(findTestObject(""TopUP/Penarikan/Nominal""), Nominal, 0)",,,,2019-11-11 16:03:59,2019-11-11 16:04:02,2.738s,PASSED
"if (verifyElementVisible(findTestObject(""TopUP/Penarikan/PopUpKelipatan""), 3, OPTIONAL))",,,,2019-11-11 16:04:02,2019-11-11 16:04:04,2.226s,PASSED
"switch (""Result"")",,,,2019-11-11 16:04:04,2019-11-11 16:04:04,0.016s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-11 16:04:04,2019-11-11 16:04:04,0.008s,PASSED
