Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
WishList,,,,2019-11-11 16:20:01,2019-11-11 16:23:01,3m - 0.239s,INCOMPLETE
,,,,,,,
Test Cases/Wishlist/Wishlist,,,,2019-11-11 16:20:02,2019-11-11 16:21:42,1m - 39.915s,PASSED
Start listener action : executeRows,,,,2019-11-11 16:20:02,2019-11-11 16:20:04,2.068s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-11 16:20:05,2019-11-11 16:20:45,39.605s,PASSED
"if (verifyElementText(findTestObject(""Wishlist/BID1""), BIDDING, STOP_ON_FAILURE))",,,,2019-11-11 16:20:45,2019-11-11 16:20:53,8.270s,PASSED
"tap(findTestObject(""Wishlist/AddWishList""), 0)",,,,2019-11-11 16:20:53,2019-11-11 16:20:57,3.500s,PASSED
pressBack(),,,,2019-11-11 16:20:57,2019-11-11 16:20:58,1.240s,PASSED
"tap(findTestObject(""Wishlist/Btn_Wishlist""), 0)",,,,2019-11-11 16:20:58,2019-11-11 16:21:03,5.543s,PASSED
"tap(findTestObject(""Wishlist/FilterUrutkanBTN""), 0)",,,,2019-11-11 16:21:03,2019-11-11 16:21:28,24.449s,PASSED
"if (Urutkan == ""Waktu Berakhir"")",,,,2019-11-11 16:21:28,2019-11-11 16:21:28,0.001s,PASSED
"else if (Urutkan == ""Harga Terendah"")",,,,2019-11-11 16:21:28,2019-11-11 16:21:31,3.120s,PASSED
delay(2),,,,2019-11-11 16:21:31,2019-11-11 16:21:33,2.089s,PASSED
"if (LelangTerbuka == ""true"")",,,,2019-11-11 16:21:33,2019-11-11 16:21:36,2.656s,PASSED
"if (LelangTertutup == ""true"")",,,,2019-11-11 16:21:36,2019-11-11 16:21:36,0.001s,PASSED
"if (SedangBerlangsung == ""true"")",,,,2019-11-11 16:21:36,2019-11-11 16:21:36,0.000s,PASSED
"if (AkanDatang == ""true"")",,,,2019-11-11 16:21:36,2019-11-11 16:21:39,2.909s,PASSED
"tap(findTestObject(""Wishlist/BtnApply""), 0)",,,,2019-11-11 16:21:39,2019-11-11 16:21:42,3.205s,PASSED
"switch (""Result"")",,,,2019-11-11 16:21:42,2019-11-11 16:21:42,0.001s,PASSED
Start listener action : addFailedTCToList,,,,2019-11-11 16:21:42,2019-11-11 16:21:42,0.014s,PASSED
,,,,,,,
Test Cases/Wishlist/Wishlist,,,,2019-11-11 16:21:42,2019-11-11 16:22:22,39.788s,FAILED
Start listener action : executeRows,,,,2019-11-11 16:21:42,2019-11-11 16:21:43,0.211s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-11 16:21:43,2019-11-11 16:22:10,27.314s,PASSED
"if (verifyElementText(findTestObject(""Wishlist/BID1""), BIDDING, STOP_ON_FAILURE))",,,,2019-11-11 16:22:10,2019-11-11 16:22:22,12.102s,FAILED
Start listener action : addFailedTCToList,,,,2019-11-11 16:22:22,2019-11-11 16:22:22,0.000s,PASSED
,,,,,,,
Test Cases/Wishlist/Wishlist,,,,2019-11-11 16:22:22,2019-11-11 16:23:01,38.649s,FAILED
Start listener action : executeRows,,,,2019-11-11 16:22:23,2019-11-11 16:22:23,0.219s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-11-11 16:22:23,2019-11-11 16:22:48,25.130s,PASSED
"if (verifyElementText(findTestObject(""Wishlist/BID1""), BIDDING, STOP_ON_FAILURE))",,,,2019-11-11 16:22:48,2019-11-11 16:23:01,13.006s,FAILED
Start listener action : addFailedTCToList,,,,2019-11-11 16:23:01,2019-11-11 16:23:01,0.001s,PASSED
