Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Filter,,,,2019-12-03 14:17:24,2019-12-03 14:24:07,6m - 43.326s,PASSED
,,,,,,,
Test Cases/Filter/Filter,,,,2019-12-03 14:17:25,2019-12-03 14:19:53,2m - 27.412s,PASSED
Start listener action : executeRows,,,,2019-12-03 14:17:26,2019-12-03 14:17:28,2.605s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-12-03 14:17:30,2019-12-03 14:18:12,42.546s,PASSED
"tap(findTestObject(""Filter/Btn_Lihat_Semua""), 0)",,,,2019-12-03 14:18:12,2019-12-03 14:18:21,8.286s,PASSED
"tap(findTestObject(""Filter/Filter""), 0)",,,,2019-12-03 14:18:21,2019-12-03 14:19:23,1m - 1.966s,PASSED
"setText(findTestObject(""Filter/Brand""), Brand, 0)",,,,2019-12-03 14:19:23,2019-12-03 14:19:25,2.141s,PASSED
"tap(findTestObject(""Filter/Click"", [""text"":Brand]), 0)",,,,2019-12-03 14:19:25,2019-12-03 14:19:28,3.023s,PASSED
"setText(findTestObject(""Filter/Type""), Type, 0)",,,,2019-12-03 14:19:28,2019-12-03 14:19:30,2.538s,PASSED
"tap(findTestObject(""Filter/Click"", [""text"":Type]), 0)",,,,2019-12-03 14:19:30,2019-12-03 14:19:34,3.220s,PASSED
"setText(findTestObject(""Filter/Model""), Model, 0)",,,,2019-12-03 14:19:34,2019-12-03 14:19:36,2.591s,PASSED
"tap(findTestObject(""Filter/Click"", [""text"":Model]), 0)",,,,2019-12-03 14:19:36,2019-12-03 14:19:39,3.233s,PASSED
"setText(findTestObject(""Filter/Tahun(Min)""), Tahun_MIN, 0)",,,,2019-12-03 14:19:39,2019-12-03 14:19:42,2.344s,PASSED
"setText(findTestObject(""Filter/Tahun(Max)""), Tahun_MAX, 0)",,,,2019-12-03 14:19:42,2019-12-03 14:19:45,2.964s,PASSED
"if (Transmisi == ""SEMUA"")",,,,2019-12-03 14:19:45,2019-12-03 14:19:45,0.005s,PASSED
"else if (Transmisi == ""MANUAL"")",,,,2019-12-03 14:19:45,2019-12-03 14:19:47,2.655s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2019-12-03 14:19:47,2019-12-03 14:19:49,2.094s,PASSED
"if (Lelang == ""TERBUKA"")",,,,2019-12-03 14:19:49,2019-12-03 14:19:49,0.017s,PASSED
"tap(findTestObject(""Filter/BtnTemukanMobil""), 0)",,,,2019-12-03 14:19:49,2019-12-03 14:19:53,3.088s,PASSED
Start listener action : addFailedTCToList,,,,2019-12-03 14:19:53,2019-12-03 14:19:53,0.045s,PASSED
,,,,,,,
Test Cases/Filter/Filter,,,,2019-12-03 14:19:53,2019-12-03 14:21:57,2m - 4.062s,PASSED
Start listener action : executeRows,,,,2019-12-03 14:19:53,2019-12-03 14:19:54,0.329s,PASSED
"startApplication(""C:/Users/Marvin/Documents/GitHub/ACCBid-Mobile/accbid.apk"", false)",,,,2019-12-03 14:19:54,2019-12-03 14:20:20,26.503s,PASSED
"tap(findTestObject(""Filter/Btn_Lihat_Semua""), 0)",,,,2019-12-03 14:20:20,2019-12-03 14:20:29,9.053s,PASSED
"tap(findTestObject(""Filter/Filter""), 0)",,,,2019-12-03 14:20:29,2019-12-03 14:21:31,1m - 1.744s,PASSED
"setText(findTestObject(""Filter/Brand""), Brand, 0)",,,,2019-12-03 14:21:31,2019-12-03 14:21:33,2.181s,PASSED
"tap(findTestObject(""Filter/Click"", [""text"":Brand]), 0)",,,,2019-12-03 14:21:33,2019-12-03 14:21:35,2.265s,PASSED
"setText(findTestObject(""Filter/Type""), Type, 0)",,,,2019-12-03 14:21:35,2019-12-03 14:21:37,2.149s,PASSED
"tap(findTestObject(""Filter/Click"", [""text"":Type]), 0)",,,,2019-12-03 14:21:37,2019-12-03 14:21:40,2.294s,PASSED
"setText(findTestObject(""Filter/Model""), Model, 0)",,,,2019-12-03 14:21:40,2019-12-03 14:21:42,2.206s,PASSED
"tap(findTestObject(""Filter/Click"", [""text"":Model]), 0)",,,,2019-12-03 14:21:42,2019-12-03 14:21:45,2.811s,PASSED
"setText(findTestObject(""Filter/Tahun(Min)""), Tahun_MIN, 0)",,,,2019-12-03 14:21:45,2019-12-03 14:21:47,2.355s,PASSED
"setText(findTestObject(""Filter/Tahun(Max)""), Tahun_MAX, 0)",,,,2019-12-03 14:21:47,2019-12-03 14:21:50,2.965s,PASSED
"if (Transmisi == ""SEMUA"")",,,,2019-12-03 14:21:50,2019-12-03 14:21:50,0.000s,PASSED
"else if (Transmisi == ""MANUAL"")",,,,2019-12-03 14:21:50,2019-12-03 14:21:50,0.002s,PASSED
"else if (Transmisi == ""AUTOMATIC"")",,,,2019-12-03 14:21:50,2019-12-03 14:21:53,2.628s,PASSED
"delay(2, STOP_ON_FAILURE)",,,,2019-12-03 14:21:53,2019-12-03 14:21:55,2.019s,PASSED
"if (Lelang == ""TERBUKA"")",,,,2019-12-03 14:21:55,2019-12-03 14:21:55,0.000s,PASSED
"tap(findTestObject(""Filter/BtnTemukanMobil""), 0)",,,,2019-12-03 14:21:55,2019-12-03 14:21:57,2.298s,PASSED
Start listener action : addFailedTCToList,,,,2019-12-03 14:21:57,2019-12-03 14:21:57,0.000s,PASSED
,,,,,,,
Test Cases/Filter/Filter,,,,2019-12-03 14:21:57,2019-12-03 14:24:07,2m - 9.441s,PASSED
Start listener action : executeRows,,,,2019-12-03 14:21:58,2019-12-03 14:21:58,0.116s,PASSED
